"x" "y"
-8703354 4017466
-8723241 4017059
-8811054 3944812
-8822128 3935674
-8824883 3943002
-8827912 3914714
-8832269 3915300
NA NA
-8475706 4258848
-8434458 4286063
-8445467 4244689
-8495898 4215527
-8512163 4215832
-8512354 4235571
-8530162 4235571
-8537242 4222163
-8558303 4222163
-8519740 4190710
-8521998 4184889
-8564917 4172033
-8571812 4172602
-8522802 4162328
-8512259 4157806
-8497046 4150563
-8536470 4136659
-8601993 4107546
-8620240 4130330
NA NA
-8443674 4376026
-8425988 4299551
-8453446 4367788
-8463708 4368178
-8457030 4343628
-8462164 4326340
-8470048 4327754
-8490209 4327595
-8495375 4318258
-8503508 4318637
-8537892 4315305
-8544513 4329516
-8527502 4292254
-8465998 4283891
-8475706 4258848
NA NA
-8578151 4634031
-8495867 4554968
-8506722 4531891
-8546458 4560880
-8487091 4490648
-8509414 4490728
-8518688 4480653
-8531182 4487494
-8495094 4439418
-8508859 4438715
-8576391 4480035
-8592776 4480148
-8533039 4447008
-8495809 4422859
-8454587 4409797
-8443674 4376026
NA NA
-8599550 4626662
-8578151 4634031
NA NA
-8453815 4803850
-8501530 4778727
-8518599 4757743
-8516404 4725689
-8514485 4634821
-8534952 4654533
-8498775 4588532
-8585237 4636839
-8599179 4636400
-8587246 4679463
-8600755 4627174
-8599550 4626662
NA NA
-8353564 4643507
-8355764 4642994
-8458300 4466863
-8427410 4550624
-8433622 4576485
-8443393 4576129
-8444446 4600521
-8452113 4624963
-8475304 4624572
-8484832 4653424
-8473480 4664141
-8470144 4668369
-8495930 4676292
-8479481 4688384
-8491817 4709544
-8484859 4730386
-8459224 4774205
-8456966 4777687
-8454250 4794711
-8453815 4803850
NA NA
-8266337 4940290
-8232322 4909634
-8245710 4872806
-8279973 4799159
-8343454 4722306
-8350470 4748004
-8364668 4747881
-8407804 4813403
-8382049 4846304
-8413340 4789182
-8363310 4672412
-8356970 4662044
-8353564 4643507
NA NA
-7785247 5135253
-7803801 5111095
-7864935 5106622
-7881818 5107364
-7926535 5097358
-7927741 5119910
-7945210 5119995
-7973223 5065711
-8056062 5065669
-8210796 4998667
-8230587 4989953
-8227493 5017259
-8266337 4940290
NA NA
-7575629 5519162
-7603336 5538465
